company,benchmark,model_variance,agent_variance,agent_delta_vs_terminus,model_range,dominant
OpenAI,reasoning-gym,0.021268362075833342,0.0020979550854999997,-0.011444999999999964,0.262938,model
OpenAI,replicationbench,0.04816876720183334,0.027149088806833338,0.17481500000000003,0.38555550000000005,model
OpenAI,research-code-bench,0.02481545108583334,0.21165206031816663,0.6251576666666666,0.22358499999999998,agent
OpenAI,scicode,0.05345382266166668,0.0154016574575,-0.09219766666666664,0.42435900000000004,model
OpenAI,seal0,0.012355584040833333,0.030000751741000004,0.24024,0.2126125,agent
OpenAI,simpleqa,0.05182166666666665,0.08434233333333331,0.37466666666666665,0.37049999999999994,agent
OpenAI,sldbench,0.10824155769566667,0.013328718065500006,0.030639666666666694,0.584875,model
OpenAI,spreadsheetbench,0.07824304464816667,0.011700739814833333,0.03297233333333332,0.5225,model
OpenAI,strongreject,5.202974883333323e-05,6.48954154999998e-05,0.0037729999999999895,0.005700999999999956,agent
OpenAI,swe-lancer,0.01836058333333334,0.003627541666666666,0.054166666666666675,0.25875,model
OpenAI,swebench-verified,0.07937933333333333,0.0041533333333333335,0.043999999999999984,0.554,model
OpenAI,swebenchpro,0.044546666666666665,0.020322000000000007,0.15933333333333335,0.394,model
OpenAI,swesmith,0.007762666666666667,0.015330666666666668,0.13466666666666666,0.10999999999999999,agent
OpenAI,swtbench,0.08005333333333334,0.010549333333333327,0.13599999999999998,0.532,model
OpenAI,terminal-bench,0.0635527199975,0.013754823652333334,0.105056,0.47893250000000004,model
OpenAI,usaco,0.12605879166666664,0.06870254166666669,-0.1608333333333333,0.5205,model
OpenAI,widesearch,0.08300878500016667,0.017253358016333337,0.14942533333333333,0.559553,model
Anthropic,aider-polyglot,0.04081844700833333,0.00016922855150000064,-0.016370333333333376,0.39588850000000003,model
Anthropic,aime,0.029863655210999998,0.014779289856,0.095648,0.26680500000000007,model
Anthropic,algotune,0.009002939625833335,0.0005128297108333331,0.01218033333333332,0.1648865,model
Anthropic,arc-agi-2,0.03510183333333333,0.0012015,0.041,0.37049999999999994,model
Anthropic,bfcl,0.0010148334831666687,0.0006631830701666683,0.014633666666666692,0.04552850000000008,model
Anthropic,bigcodebench,0.0020648135713333344,0.0011069281808333336,-0.04551700000000001,0.08551650000000005,model
Anthropic,bixbench,0.004490666666666668,0.004466666666666667,0.08933333333333333,0.12,model
Anthropic,codepde,0.009066666666666664,0.01013333333333334,-0.13333333333333336,0.18000000000000005,agent
Anthropic,compilebench,0.003622207777833334,0.001370380740833332,0.04666699999999998,0.1166665,model
Anthropic,crmarena,0.0017436319683333346,0.024170153521666665,0.21420933333333333,0.05319649999999998,agent
Anthropic,deepsynth,0.0386638700995,0.0006233399883333337,0.01830800000000001,0.3600765,model
Anthropic,featurebench-modal,0.027027227733333332,0.0047236457268333325,0.0028829999999999876,0.3064865,model
Anthropic,financeagent_terminal,0.13714133333333334,0.003677333333333333,0.076,0.644,model
Anthropic,gaia2,0.019527287189833334,0.003985920622833334,0.06742766666666668,0.23557050000000002,model
Anthropic,gso,0.03977037581066666,0.0033277035499999995,0.045424666666666676,0.358333,model
Anthropic,hle,0.0206340711935,0.0017948127288333335,0.054083,0.2811245,model
Anthropic,humanevalfix,0.001184801769833335,0.0010162398375,0.025203000000000014,0.045122000000000106,model
